"","Series.Name","Series.Code","Country.Name","Country.Code","Year","GDP_per_cap"
"1","GDP per capita (current US$)","NY.GDP.PCAP.CD","Afghanistan","AFG","2000",".."
"2","GDP per capita (current US$)","NY.GDP.PCAP.CD","Albania","ALB","2000","1126.68334010717"
"3","GDP per capita (current US$)","NY.GDP.PCAP.CD","Algeria","DZA","2000","1780.37587355483"
"4","GDP per capita (current US$)","NY.GDP.PCAP.CD","American Samoa","ASM","2000",".."
"5","GDP per capita (current US$)","NY.GDP.PCAP.CD","Andorra","AND","2000","21620.4850212897"
"6","GDP per capita (current US$)","NY.GDP.PCAP.CD","Angola","AGO","2000","556.88424373456"
"7","GDP per capita (current US$)","NY.GDP.PCAP.CD","Antigua and Barbuda","ATG","2000","11010.1974601342"
"8","GDP per capita (current US$)","NY.GDP.PCAP.CD","Argentina","ARG","2000","7666.51783423783"
"9","GDP per capita (current US$)","NY.GDP.PCAP.CD","Armenia","ARM","2000","603.298025247115"
"10","GDP per capita (current US$)","NY.GDP.PCAP.CD","Aruba","ABW","2000","21023.1575127316"
"11","GDP per capita (current US$)","NY.GDP.PCAP.CD","Australia","AUS","2000","21853.781667691"
"12","GDP per capita (current US$)","NY.GDP.PCAP.CD","Austria","AUT","2000","24625.6007227434"
"13","GDP per capita (current US$)","NY.GDP.PCAP.CD","Azerbaijan","AZE","2000","655.119945170816"
"14","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bahamas, The","BHS","2000","24849.6064784902"
"15","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bahrain","BHR","2000","12738.7741181575"
"16","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bangladesh","BGD","2000","413.100185264402"
"17","GDP per capita (current US$)","NY.GDP.PCAP.CD","Barbados","BRB","2000","11560.2459031879"
"18","GDP per capita (current US$)","NY.GDP.PCAP.CD","Belarus","BLR","2000","1276.2880341"
"19","GDP per capita (current US$)","NY.GDP.PCAP.CD","Belgium","BEL","2000","23098.8865077401"
"20","GDP per capita (current US$)","NY.GDP.PCAP.CD","Belize","BLZ","2000","4642.1470345998"
"21","GDP per capita (current US$)","NY.GDP.PCAP.CD","Benin","BEN","2000","502.997964780144"
"22","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bermuda","BMU","2000","56284.1686478094"
"23","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bhutan","BTN","2000","722.852571406065"
"24","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bolivia","BOL","2000","977.336055960911"
"25","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bosnia and Herzegovina","BIH","2000","1332.12236478772"
"26","GDP per capita (current US$)","NY.GDP.PCAP.CD","Botswana","BWA","2000","3351.6965168531"
"27","GDP per capita (current US$)","NY.GDP.PCAP.CD","Brazil","BRA","2000","3726.81142036099"
"28","GDP per capita (current US$)","NY.GDP.PCAP.CD","British Virgin Islands","VGB","2000",".."
"29","GDP per capita (current US$)","NY.GDP.PCAP.CD","Brunei Darussalam","BRN","2000","17971.5065800941"
"30","GDP per capita (current US$)","NY.GDP.PCAP.CD","Bulgaria","BGR","2000","1621.24301844691"
"31","GDP per capita (current US$)","NY.GDP.PCAP.CD","Burkina Faso","BFA","2000","249.802067600678"
"32","GDP per capita (current US$)","NY.GDP.PCAP.CD","Burundi","BDI","2000","138.004617225366"
"33","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cabo Verde","CPV","2000","1176.70725787049"
"34","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cambodia","KHM","2000","301.516598515387"
"35","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cameroon","CMR","2000","700.163213560189"
"36","GDP per capita (current US$)","NY.GDP.PCAP.CD","Canada","CAN","2000","24271.0020563821"
"37","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cayman Islands","CYM","2000",".."
"38","GDP per capita (current US$)","NY.GDP.PCAP.CD","Central African Republic","CAF","2000","243.877580064527"
"39","GDP per capita (current US$)","NY.GDP.PCAP.CD","Chad","TCD","2000","168.117652803305"
"40","GDP per capita (current US$)","NY.GDP.PCAP.CD","Channel Islands","CHI","2000","44316.1535931325"
"41","GDP per capita (current US$)","NY.GDP.PCAP.CD","Chile","CHL","2000","5097.11493718915"
"42","GDP per capita (current US$)","NY.GDP.PCAP.CD","China","CHN","2000","959.372483639691"
"43","GDP per capita (current US$)","NY.GDP.PCAP.CD","Colombia","COL","2000","2547.14352840369"
"44","GDP per capita (current US$)","NY.GDP.PCAP.CD","Comoros","COM","2000","654.180409871714"
"45","GDP per capita (current US$)","NY.GDP.PCAP.CD","Congo, Dem. Rep.","COD","2000","392.626333784131"
"46","GDP per capita (current US$)","NY.GDP.PCAP.CD","Congo, Rep.","COG","2000","1029.96068877345"
"47","GDP per capita (current US$)","NY.GDP.PCAP.CD","Costa Rica","CRI","2000","3773.03379319679"
"48","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cote d'Ivoire","CIV","2000","986.777320949729"
"49","GDP per capita (current US$)","NY.GDP.PCAP.CD","Croatia","HRV","2000","4880.56898237938"
"50","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cuba","CUB","2000","2752.20378269319"
"51","GDP per capita (current US$)","NY.GDP.PCAP.CD","Curacao","CUW","2000",".."
"52","GDP per capita (current US$)","NY.GDP.PCAP.CD","Cyprus","CYP","2000","14388.34765625"
"53","GDP per capita (current US$)","NY.GDP.PCAP.CD","Czechia","CZE","2000","6029.03819275358"
"54","GDP per capita (current US$)","NY.GDP.PCAP.CD","Denmark","DNK","2000","30743.5476816354"
"55","GDP per capita (current US$)","NY.GDP.PCAP.CD","Djibouti","DJI","2000","742.865697154312"
"56","GDP per capita (current US$)","NY.GDP.PCAP.CD","Dominica","DMA","2000","4879.14977277925"
"57","GDP per capita (current US$)","NY.GDP.PCAP.CD","Dominican Republic","DOM","2000","2845.8391666108"
"58","GDP per capita (current US$)","NY.GDP.PCAP.CD","Ecuador","ECU","2000","1451.53088517998"
"59","GDP per capita (current US$)","NY.GDP.PCAP.CD","Egypt, Arab Rep.","EGY","2000","1398.85983078672"
"60","GDP per capita (current US$)","NY.GDP.PCAP.CD","El Salvador","SLV","2000","1977.84061443838"
"61","GDP per capita (current US$)","NY.GDP.PCAP.CD","Equatorial Guinea","GNQ","2000","1527.05637771592"
"62","GDP per capita (current US$)","NY.GDP.PCAP.CD","Eritrea","ERI","2000","295.19692403481"
"63","GDP per capita (current US$)","NY.GDP.PCAP.CD","Estonia","EST","2000","4070.60902410208"
"64","GDP per capita (current US$)","NY.GDP.PCAP.CD","Ethiopia","ETH","2000","122.962293496623"
"65","GDP per capita (current US$)","NY.GDP.PCAP.CD","Faroe Islands","FRO","2000","23370.9009945655"
"66","GDP per capita (current US$)","NY.GDP.PCAP.CD","Fiji","FJI","2000","2015.88117157355"
"67","GDP per capita (current US$)","NY.GDP.PCAP.CD","Finland","FIN","2000","24345.9148217032"
"68","GDP per capita (current US$)","NY.GDP.PCAP.CD","France","FRA","2000","22416.425417915"
"69","GDP per capita (current US$)","NY.GDP.PCAP.CD","French Polynesia","PYF","2000","14346.1904811211"
"70","GDP per capita (current US$)","NY.GDP.PCAP.CD","Gabon","GAB","2000","3991.15702215689"
"71","GDP per capita (current US$)","NY.GDP.PCAP.CD","Gambia, The","GMB","2000","544.622025851887"
"72","GDP per capita (current US$)","NY.GDP.PCAP.CD","Georgia","GEO","2000","749.908534993961"
"73","GDP per capita (current US$)","NY.GDP.PCAP.CD","Germany","DEU","2000","23694.7604830673"
"74","GDP per capita (current US$)","NY.GDP.PCAP.CD","Ghana","GHA","2000","253.389128238287"
"75","GDP per capita (current US$)","NY.GDP.PCAP.CD","Gibraltar","GIB","2000",".."
"76","GDP per capita (current US$)","NY.GDP.PCAP.CD","Greece","GRC","2000","12072.9293569196"
"77","GDP per capita (current US$)","NY.GDP.PCAP.CD","Greenland","GRL","2000","19004.1072910304"
"78","GDP per capita (current US$)","NY.GDP.PCAP.CD","Grenada","GRD","2000","4840.68406406257"
"79","GDP per capita (current US$)","NY.GDP.PCAP.CD","Guam","GUM","2000",".."
"80","GDP per capita (current US$)","NY.GDP.PCAP.CD","Guatemala","GTM","2000","1664.29895827045"
"81","GDP per capita (current US$)","NY.GDP.PCAP.CD","Guinea","GIN","2000","359.286673514741"
"82","GDP per capita (current US$)","NY.GDP.PCAP.CD","Guinea-Bissau","GNB","2000","301.495561232743"
"83","GDP per capita (current US$)","NY.GDP.PCAP.CD","Guyana","GUY","2000","938.893297983287"
"84","GDP per capita (current US$)","NY.GDP.PCAP.CD","Haiti","HTI","2000","814.999304226415"
"85","GDP per capita (current US$)","NY.GDP.PCAP.CD","Honduras","HND","2000","1079.60748497786"
"86","GDP per capita (current US$)","NY.GDP.PCAP.CD","Hong Kong SAR, China","HKG","2000","25756.6637783278"
